URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,47,24,0.3239436574092443,0.0009296600848356773,14.626506024096386,0.8747940691927513,1062,14.626506024096386,1062,1214,2.085667215815486,3,7.223228995057661
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,41,28,0.18840579437093052,0.0009034724768121371,10.070588235294117,0.8563084112149533,733,10.070588235294117,733,856,1.8714953271028036,9,6.474299065420561
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,52,24,0.3684210477839336,0.0009951291048945277,12.235955056179776,0.8888888888888888,968,12.235955056179776,968,1089,2.1074380165289255,5,7.155188246097337
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,39,19,0.34482758026159344,0.0007594406326826659,9.505154639175258,0.8644251626898047,797,9.505154639175258,797,922,1.9316702819956617,20,6.560737527114967
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,36,22,0.24137930618311543,0.0007594406326826659,12.25287356321839,0.8377110694183865,893,12.25287356321839,893,1066,1.900562851782364,18,6.602251407129456
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,36,21,0.26315789012003704,0.0007463468286708958,12.548387096774194,0.8586118251928021,668,12.548387096774194,668,778,1.9318766066838047,23,6.637532133676093
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,19,9,0.35714284438775556,0.0003666265123295629,10.26,0.8538011695906432,438,10.26,438,513,1.9434697855750487,9,6.764132553606238
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,4,0,0.9999997500000625,5.237521604708041e-05,22.166666666666668,0.706766917293233,94,22.166666666666668,94,133,1.8270676691729324,2,6.827067669172933
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,27,13,0.34999999125000025,0.0005237521604708041,12.292682926829269,0.8134920634920635,410,12.292682926829269,410,504,1.867063492063492,4,6.321428571428571
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,48,27,0.2799999962666667,0.0009820353008827578,14.662790697674419,0.8429817605075337,1063,14.662790697674419,1063,1261,1.9500396510705789,13,6.684377478191911
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,37,35,0.027777777391975313,0.0009427538888474474,11.950495049504951,0.8135874067937034,982,11.950495049504951,982,1207,1.9154929577464788,3,6.500414250207125
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,31,13,0.40909089979338864,0.0005761273765178845,12.806451612903226,0.8753148614609572,695,12.806451612903226,695,794,2.0957178841309823,12,7.10831234256927
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,23,18,0.12195121653777521,0.0005368459644825742,9.60919540229885,0.8253588516746412,690,9.60919540229885,690,836,1.8480861244019138,8,6.454545454545454
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,38,19,0.33333332748538025,0.0007463468286708958,13.602941176470589,0.8616216216216216,797,13.602941176470589,797,925,1.9308108108108109,34,6.698378378378378
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,46,14,0.5333333244444446,0.0007856282407062062,11.294117647058824,0.853125,819,11.294117647058824,819,960,1.9416666666666667,13,6.74375
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,25,0,0.9999999600000016,0.00032734510029425255,15.961538461538462,0.8313253012048193,345,15.961538461538462,345,415,2.0867469879518072,2,7.106024096385542
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,50,28,0.28205127843524,0.001021316712918068,79.0,0.8558909444985394,879,79.0,879,1027,1.8977604673807205,18,6.4371957156767285
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,19,0,0.9999999473684238,0.00024878227622363193,10.82,0.833641404805915,451,10.82,451,541,2.0277264325323476,2,6.720887245841035
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17,5,0.5454545206611581,0.00028806368825894227,12.155555555555555,0.8391224862888482,459,12.155555555555555,459,547,2.0018281535648996,3,7.043875685557587
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,3,0.24999996875000394,0.00010475043209416082,20.181818181818183,0.7927927927927928,176,20.181818181818183,176,222,1.8918918918918919,4,6.954954954954955
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,4,0,0.9999997500000625,5.237521604708041e-05,22.166666666666668,0.706766917293233,94,22.166666666666668,94,133,1.8270676691729324,2,6.827067669172933
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,39,-0.23809523431594867,0.0008249096527415165,14.433333333333334,0.8579676674364896,743,14.433333333333334,743,866,1.9803695150115475,4,6.767898383371825
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,18,8,0.3846153698224858,0.0003404389043060227,14.878787878787879,0.8187372708757638,402,14.878787878787879,402,491,1.9083503054989817,7,6.75152749490835
